"ID","cluster"
"AT1G22690","3"
"AT3G14900","3"
"AT1G51830","3"
"AT2G01590","3"
"AT1G60950","3"
"AT4G34740","3"
"AT3G14210","3"
"AT4G31940","3"
"AT3G04590","4"
"AT3G48195","4"
"AT4G00400","4"
"AT4G02520","4"
"AT2G27830","4"
"AT1G64790","4"
"AT3G61640","4"
"AT3G53630","5"
"AT2G32150","5"
"AT4G05150","5"
"AT4G37895","5"
"AT1G14240","5"
"AT3G07885","5"
"AT3G62680","5"
"AT1G55740","5"
"AT4G01450","5"
"AT2G09740","5"
"AT1G52070","5"
"AT1G54970","5"
"AT2G26690","5"
"AT3G46450","5"
"AT5G02425","5"
"AT4G15960","5"
"AT5G11420","5"
"AT4G35485","5"
"AT2G24980","5"
"AT5G20950","5"
"AT1G52190","5"
"AT3G06240","5"
"AT3G02845","5"
"AT4G09500","5"
"AT5G06645","5"
"AT3G54590","5"
"AT5G63300","5"
"AT4G14190","5"
"AT4G13390","5"
"AT5G06640","5"
"AT5G24770","5"
"AT1G34510","5"
"AT4G23870","5"
"AT1G10590","5"
"AT1G52000","5"
"AT1G32560","5"
"AT4G37980","5"
"AT5G65520","5"
"AT4G09020","5"
"AT1G68620","5"
"AT3G20100","5"
"AT1G29230","5"
"AT1G18710","5"
"AT3G62090","5"
"AT3G50390","5"
"AT5G23220","5"
"AT1G66280","5"
"AT4G23680","5"
"AT1G45249","5"
"AT4G30960","5"
"AT5G48000","5"
"AT4G34000","5"
"AT3G10020","5"
"AT2G22240","5"
"AT4G02715","5"
"AT1G14960","5"
"AT1G20190","5"
"AT2G43050","5"
"AT5G67400","5"
"AT4G11450","5"
"AT2G39050","5"
"AT5G57530","5"
"AT2G40475","5"
"AT5G47990","5"
"AT3G46060","5"
"AT4G27900","5"
"AT3G12120","5"
"AT5G17590","5"
"AT1G50750","5"
"AT2G38750","5"
"AT2G41750","5"
"AT1G29400","5"
"AT1G27200","5"
"AT1G65310","5"
"AT4G21930","5"
"AT4G29270","5"
"AT3G02935","5"
"AT5G07010","5"
"AT1G33800","5"
"AT5G02070","5"
"AT2G30330","5"
"AT1G77520","5"
"AT2G09400","5"
"AT2G35300","5"
"AT3G08835","5"
"AT1G70830","5"
"AT2G40840","5"
"AT1G54000","5"
"AT4G14270","5"
"AT5G03230","5"
"AT2G45600","5"
"AT2G08685","5"
"AT4G03600","5"
"AT2G32870","5"
"AT4G35300","5"
"AT1G64980","5"
"AT5G48900","5"
"AT3G07350","5"
"AT5G01520","5"
"AT5G40790","5"
"AT5G42580","5"
"AT3G04685","5"
"AT5G21020","5"
"AT2G22910","5"
"AT1G64660","5"
"AT2G19810","5"
"AT1G04103","5"
"AT3G50440","5"
"AT5G15230","5"
"AT5G15500","5"
"AT5G26260","5"
"AT2G38780","5"
"AT3G47620","5"
"ATCG00370","5"
"AT5G07015","5"
"AT1G01700","5"
"AT1G62570","5"
"AT5G61820","5"
"AT3G14595","5"
"AT4G34230","5"
"AT5G11980","5"
"AT1G52040","5"
"AT4G34881","5"
"AT1G62515","5"
"AT2G41240","5"
"AT2G08690","5"
"AT4G16190","5"
"AT1G47395","5"
"AT2G18050","5"
"AT5G21482","5"
"AT1G07985","5"
"AT5G25610","5"
"AT5G57050","5"
"AT2G19582","5"
"AT1G01470","5"
"AT2G47010","5"
"AT5G08955","5"
"AT1G22160","5"
"AT4G14060","5"
"AT1G17744","5"
"AT1G62540","5"
"AT3G12030","5"
"AT5G37990","5"
"AT4G30290","5"
"AT5G38020","5"
"AT3G28740","6"
"AT3G53980","6"
"AT2G21595","6"
"AT4G14100","6"
"AT1G06473","6"
"AT1G68570","6"
"AT1G73500","6"
"AT1G07373","6"
"AT1G19540","6"
"AT5G03190","6"
"AT2G42790","6"
"AT1G19570","6"
"AT3G56990","6"
"AT5G52300","6"
"AT3G61060","6"
"AT5G65070","6"
"AT1G56600","6"
"AT2G46270","6"
"AT4G10250","6"
"AT5G50360","6"
"AT3G14360","6"
"AT2G37580","6"
"AT2G47770","6"
"AT3G14560","6"
"AT5G22460","6"
"AT3G09900","6"
"AT5G43150","6"
"AT4G08570","6"
"AT1G08847","6"
"AT3G12520","6"
"AT5G25110","6"
"AT1G18870","6"
"AT3G02925","6"
"AT4G06195","6"
"AT3G23920","6"
"AT5G00905","6"
"AT1G13920","6"
"AT5G24240","6"
"AT1G17745","6"
"AT2G21180","6"
"AT2G28840","6"
"AT3G09390","6"
"AT3G27250","6"
"AT5G42820","6"
"AT1G09193","6"
"AT1G04803","6"
"AT2G14247","6"
"AT1G58360","6"
"AT5G66170","6"
"AT1G51140","6"
"AT1G58270","6"
"AT2G08100","6"
"AT5G02020","6"
"AT3G11410","6"
"AT5G48850","6"
"AT3G29575","6"
"AT3G44990","6"
"AT4G33465","6"
"AT4G14820","6"
"AT5G17460","6"
"AT2G30362","6"
"AT1G19550","6"
"AT2G16005","6"
"AT3G12580","6"
"AT3G12710","6"
"AT4G20320","6"
"AT5G04120","6"
"AT1G01300","6"
"AT1G62200","6"
"AT1G73040","6"
"AT1G54100","6"
"AT1G67360","6"
"AT1G61890","6"
"AT1G21400","6"
"AT4G24960","6"
"AT1G09530","6"
"AT1G22065","6"
"AT5G47640","6"
"AT1G76180","6"
"AT2G39800","6"
"AT2G41870","6"
"AT4G26080","6"
